country,year,age,sex,suicides/100k pop
Albania,2008,75+ years,male,4.49
Albania,2008,15-24 years,male,3.84
Albania,2008,55-74 years,female,3.09
Albania,2008,5-14 years,male,2.67
Albania,2008,5-14 years,female,0.41
Albania,2009,15-24 years,female,0.0
Albania,2009,25-34 years,female,0.0
Albania,2009,35-54 years,female,0.0
Albania,2009,5-14 years,female,0.0
Albania,2009,55-74 years,female,0.0
Albania,2009,75+ years,female,0.0
Albania,2009,15-24 years,male,0.0
Albania,2009,25-34 years,male,0.0
Albania,2009,35-54 years,male,0.0
Albania,2009,5-14 years,male,0.0
Albania,2009,55-74 years,male,0.0
Albania,2009,75+ years,male,0.0
Albania,2010,55-74 years,male,8.27
Albania,2010,35-54 years,male,5.38
Albania,2010,25-34 years,male,5.01
Albania,2010,75+ years,male,3.94
Albania,2010,15-24 years,male,3.58
Albania,2010,25-34 years,female,3.27
Albania,2010,75+ years,female,3.1
Albania,2010,35-54 years,female,3.04
Albania,2010,55-74 years,female,2.9
Albania,2010,15-24 years,female,2.28
Albania,2010,5-14 years,female,0.89
Albania,2010,5-14 years,male,0.0
Antigua and Barbuda,1985,15-24 years,female,0.0
Antigua and Barbuda,1985,25-34 years,female,0.0
Antigua and Barbuda,1985,35-54 years,female,0.0
Antigua and Barbuda,1985,5-14 years,female,0.0
Antigua and Barbuda,1985,55-74 years,female,0.0
Antigua and Barbuda,1985,75+ years,female,0.0
Antigua and Barbuda,1985,15-24 years,male,0.0
Antigua and Barbuda,1985,25-34 years,male,0.0
Antigua and Barbuda,1985,35-54 years,male,0.0
Antigua and Barbuda,1985,5-14 years,male,0.0
Antigua and Barbuda,1985,55-74 years,male,0.0
Antigua and Barbuda,1985,75+ years,male,0.0
Antigua and Barbuda,1986,15-24 years,female,0.0
Antigua and Barbuda,1986,25-34 years,female,0.0
Antigua and Barbuda,1986,35-54 years,female,0.0
Antigua and Barbuda,1986,5-14 years,female,0.0
Antigua and Barbuda,1986,55-74 years,female,0.0
Antigua and Barbuda,1986,75+ years,female,0.0
Antigua and Barbuda,1986,15-24 years,male,0.0
Antigua and Barbuda,1986,25-34 years,male,0.0
Antigua and Barbuda,1986,35-54 years,male,0.0
Antigua and Barbuda,1986,5-14 years,male,0.0
Antigua and Barbuda,1986,55-74 years,male,0.0
Antigua and Barbuda,1986,75+ years,male,0.0
Antigua and Barbuda,1987,15-24 years,female,0.0
Antigua and Barbuda,1987,25-34 years,female,0.0
Antigua and Barbuda,1987,35-54 years,female,0.0
Antigua and Barbuda,1987,5-14 years,female,0.0
Antigua and Barbuda,1987,55-74 years,female,0.0
Antigua and Barbuda,1987,75+ years,female,0.0
Antigua and Barbuda,1987,15-24 years,male,0.0
Antigua and Barbuda,1987,25-34 years,male,0.0
Antigua and Barbuda,1987,35-54 years,male,0.0
Antigua and Barbuda,1987,5-14 years,male,0.0
Antigua and Barbuda,1987,55-74 years,male,0.0
Antigua and Barbuda,1987,75+ years,male,0.0
Antigua and Barbuda,1988,15-24 years,female,0.0
Antigua and Barbuda,1988,25-34 years,female,0.0
Antigua and Barbuda,1988,35-54 years,female,0.0
Antigua and Barbuda,1988,5-14 years,female,0.0
Antigua and Barbuda,1988,55-74 years,female,0.0
Antigua and Barbuda,1988,75+ years,female,0.0
Antigua and Barbuda,1988,15-24 years,male,0.0
Antigua and Barbuda,1988,25-34 years,male,0.0
Antigua and Barbuda,1988,35-54 years,male,0.0
Antigua and Barbuda,1988,5-14 years,male,0.0
Antigua and Barbuda,1988,55-74 years,male,0.0
Antigua and Barbuda,1988,75+ years,male,0.0
Antigua and Barbuda,1989,15-24 years,female,0.0
Antigua and Barbuda,1989,25-34 years,female,0.0
Antigua and Barbuda,1989,35-54 years,female,0.0
Antigua and Barbuda,1989,5-14 years,female,0.0
Antigua and Barbuda,1989,55-74 years,female,0.0
Antigua and Barbuda,1989,75+ years,female,0.0
Antigua and Barbuda,1989,15-24 years,male,0.0
Antigua and Barbuda,1989,25-34 years,male,0.0
Antigua and Barbuda,1989,35-54 years,male,0.0
Antigua and Barbuda,1989,5-14 years,male,0.0
Antigua and Barbuda,1989,55-74 years,male,0.0
Antigua and Barbuda,1989,75+ years,male,0.0
Antigua and Barbuda,1990,35-54 years,male,17.24
Antigua and Barbuda,1990,15-24 years,female,0.0
Antigua and Barbuda,1990,25-34 years,female,0.0
Antigua and Barbuda,1990,35-54 years,female,0.0
Antigua and Barbuda,1990,5-14 years,female,0.0
Antigua and Barbuda,1990,55-74 years,female,0.0
Antigua and Barbuda,1990,75+ years,female,0.0
Antigua and Barbuda,1990,15-24 years,male,0.0
Antigua and Barbuda,1990,25-34 years,male,0.0
Antigua and Barbuda,1990,5-14 years,male,0.0
Antigua and Barbuda,1990,55-74 years,male,0.0
Antigua and Barbuda,1990,75+ years,male,0.0
Antigua and Barbuda,1991,15-24 years,female,0.0
Antigua and Barbuda,1991,25-34 years,female,0.0
Antigua and Barbuda,1991,35-54 years,female,0.0
Antigua and Barbuda,1991,5-14 years,female,0.0
Antigua and Barbuda,1991,55-74 years,female,0.0
Antigua and Barbuda,1991,75+ years,female,0.0
Antigua and Barbuda,1991,15-24 years,male,0.0
Antigua and Barbuda,1991,25-34 years,male,0.0
Antigua and Barbuda,1991,35-54 years,male,0.0
Antigua and Barbuda,1991,5-14 years,male,0.0
Antigua and Barbuda,1991,55-74 years,male,0.0
Antigua and Barbuda,1991,75+ years,male,0.0
Antigua and Barbuda,1992,15-24 years,female,0.0
Antigua and Barbuda,1992,25-34 years,female,0.0
Antigua and Barbuda,1992,35-54 years,female,0.0
Antigua and Barbuda,1992,5-14 years,female,0.0
Antigua and Barbuda,1992,55-74 years,female,0.0
Antigua and Barbuda,1992,75+ years,female,0.0
Antigua and Barbuda,1992,15-24 years,male,0.0
Antigua and Barbuda,1992,25-34 years,male,0.0
Antigua and Barbuda,1992,35-54 years,male,0.0
Antigua and Barbuda,1992,5-14 years,male,0.0
Antigua and Barbuda,1992,55-74 years,male,0.0
Antigua and Barbuda,1992,75+ years,male,0.0
Antigua and Barbuda,1993,25-34 years,male,15.0
Antigua and Barbuda,1993,15-24 years,female,0.0
Antigua and Barbuda,1993,25-34 years,female,0.0
Antigua and Barbuda,1993,35-54 years,female,0.0
Antigua and Barbuda,1993,5-14 years,female,0.0
Antigua and Barbuda,1993,55-74 years,female,0.0
Antigua and Barbuda,1993,75+ years,female,0.0
Antigua and Barbuda,1993,15-24 years,male,0.0
Antigua and Barbuda,1993,35-54 years,male,0.0
Antigua and Barbuda,1993,5-14 years,male,0.0
Antigua and Barbuda,1993,55-74 years,male,0.0
Antigua and Barbuda,1993,75+ years,male,0.0
Antigua and Barbuda,1994,15-24 years,female,0.0
Antigua and Barbuda,1994,25-34 years,female,0.0
Antigua and Barbuda,1994,35-54 years,female,0.0
Antigua and Barbuda,1994,5-14 years,female,0.0
Antigua and Barbuda,1994,55-74 years,female,0.0
Antigua and Barbuda,1994,75+ years,female,0.0
Antigua and Barbuda,1994,15-24 years,male,0.0
Antigua and Barbuda,1994,25-34 years,male,0.0
Antigua and Barbuda,1994,35-54 years,male,0.0
Antigua and Barbuda,1994,5-14 years,male,0.0
Antigua and Barbuda,1994,55-74 years,male,0.0
Antigua and Barbuda,1994,75+ years,male,0.0
Antigua and Barbuda,1995,15-24 years,female,0.0
Antigua and Barbuda,1995,25-34 years,female,0.0
Antigua and Barbuda,1995,35-54 years,female,0.0
Antigua and Barbuda,1995,5-14 years,female,0.0
Antigua and Barbuda,1995,55-74 years,female,0.0
Antigua and Barbuda,1995,75+ years,female,0.0
Antigua and Barbuda,1995,15-24 years,male,0.0
Antigua and Barbuda,1995,25-34 years,male,0.0
Antigua and Barbuda,1995,35-54 years,male,0.0
Antigua and Barbuda,1995,5-14 years,male,0.0
Antigua and Barbuda,1995,55-74 years,male,0.0
Antigua and Barbuda,1995,75+ years,male,0.0
Antigua and Barbuda,1998,15-24 years,female,0.0
Antigua and Barbuda,1998,25-34 years,female,0.0
Antigua and Barbuda,1998,35-54 years,female,0.0
Antigua and Barbuda,1998,5-14 years,female,0.0
Antigua and Barbuda,1998,55-74 years,female,0.0
Antigua and Barbuda,1998,75+ years,female,0.0
Antigua and Barbuda,1998,15-24 years,male,0.0
Antigua and Barbuda,1998,25-34 years,male,0.0
Antigua and Barbuda,1998,35-54 years,male,0.0
Antigua and Barbuda,1998,5-14 years,male,0.0
Antigua and Barbuda,1998,55-74 years,male,0.0
Antigua and Barbuda,1998,75+ years,male,0.0
Antigua and Barbuda,1999,15-24 years,female,0.0
Antigua and Barbuda,1999,25-34 years,female,0.0
Antigua and Barbuda,1999,35-54 years,female,0.0
Antigua and Barbuda,1999,5-14 years,female,0.0
Antigua and Barbuda,1999,55-74 years,female,0.0
Antigua and Barbuda,1999,75+ years,female,0.0
Antigua and Barbuda,1999,15-24 years,male,0.0
Antigua and Barbuda,1999,25-34 years,male,0.0
Antigua and Barbuda,1999,35-54 years,male,0.0
Antigua and Barbuda,1999,5-14 years,male,0.0
Antigua and Barbuda,1999,55-74 years,male,0.0
Antigua and Barbuda,1999,75+ years,male,0.0
Antigua and Barbuda,2000,55-74 years,male,30.0
Antigua and Barbuda,2000,35-54 years,male,9.97
Antigua and Barbuda,2000,15-24 years,female,0.0
Antigua and Barbuda,2000,25-34 years,female,0.0
Antigua and Barbuda,2000,35-54 years,female,0.0
Antigua and Barbuda,2000,5-14 years,female,0.0
Antigua and Barbuda,2000,55-74 years,female,0.0
Antigua and Barbuda,2000,75+ years,female,0.0
Antigua and Barbuda,2000,15-24 years,male,0.0
Antigua and Barbuda,2000,25-34 years,male,0.0
Antigua and Barbuda,2000,5-14 years,male,0.0
Antigua and Barbuda,2000,75+ years,male,0.0
Antigua and Barbuda,2001,35-54 years,male,19.45
Antigua and Barbuda,2001,15-24 years,female,0.0
Antigua and Barbuda,2001,25-34 years,female,0.0
Antigua and Barbuda,2001,35-54 years,female,0.0
Antigua and Barbuda,2001,5-14 years,female,0.0
Antigua and Barbuda,2001,55-74 years,female,0.0
Antigua and Barbuda,2001,75+ years,female,0.0
Antigua and Barbuda,2001,15-24 years,male,0.0
Antigua and Barbuda,2001,25-34 years,male,0.0
Antigua and Barbuda,2001,5-14 years,male,0.0
Antigua and Barbuda,2001,55-74 years,male,0.0
Antigua and Barbuda,2001,75+ years,male,0.0
Antigua and Barbuda,2002,15-24 years,female,0.0
Antigua and Barbuda,2002,25-34 years,female,0.0
Antigua and Barbuda,2002,35-54 years,female,0.0
Antigua and Barbuda,2002,5-14 years,female,0.0
Antigua and Barbuda,2002,55-74 years,female,0.0
Antigua and Barbuda,2002,75+ years,female,0.0
Antigua and Barbuda,2002,15-24 years,male,0.0
Antigua and Barbuda,2002,25-34 years,male,0.0
Antigua and Barbuda,2002,35-54 years,male,0.0
Antigua and Barbuda,2002,5-14 years,male,0.0
Antigua and Barbuda,2002,55-74 years,male,0.0
Antigua and Barbuda,2002,75+ years,male,0.0
Antigua and Barbuda,2003,55-74 years,male,27.82
Antigua and Barbuda,2003,15-24 years,female,0.0
Antigua and Barbuda,2003,25-34 years,female,0.0
Antigua and Barbuda,2003,35-54 years,female,0.0
Antigua and Barbuda,2003,5-14 years,female,0.0
Antigua and Barbuda,2003,55-74 years,female,0.0
Antigua and Barbuda,2003,75+ years,female,0.0
Antigua and Barbuda,2003,15-24 years,male,0.0
Antigua and Barbuda,2003,25-34 years,male,0.0
Antigua and Barbuda,2003,35-54 years,male,0.0
Antigua and Barbuda,2003,5-14 years,male,0.0
Antigua and Barbuda,2003,75+ years,male,0.0
Antigua and Barbuda,2004,55-74 years,male,27.29
Antigua and Barbuda,2004,35-54 years,male,8.77
Antigua and Barbuda,2004,15-24 years,female,0.0
Antigua and Barbuda,2004,25-34 years,female,0.0
Antigua and Barbuda,2004,35-54 years,female,0.0
Antigua and Barbuda,2004,5-14 years,female,0.0
Antigua and Barbuda,2004,55-74 years,female,0.0
Antigua and Barbuda,2004,75+ years,female,0.0
Antigua and Barbuda,2004,15-24 years,male,0.0
Antigua and Barbuda,2004,25-34 years,male,0.0
Antigua and Barbuda,2004,5-14 years,male,0.0
Antigua and Barbuda,2004,75+ years,male,0.0
Antigua and Barbuda,2005,15-24 years,female,0.0
Antigua and Barbuda,2005,25-34 years,female,0.0
Antigua and Barbuda,2005,35-54 years,female,0.0
Antigua and Barbuda,2005,5-14 years,female,0.0
Antigua and Barbuda,2005,55-74 years,female,0.0
Antigua and Barbuda,2005,75+ years,female,0.0
Antigua and Barbuda,2005,15-24 years,male,0.0
Antigua and Barbuda,2005,25-34 years,male,0.0
Antigua and Barbuda,2005,35-54 years,male,0.0
Antigua and Barbuda,2005,5-14 years,male,0.0
Antigua and Barbuda,2005,55-74 years,male,0.0
Antigua and Barbuda,2005,75+ years,male,0.0
Antigua and Barbuda,2006,15-24 years,female,0.0
Antigua and Barbuda,2006,25-34 years,female,0.0
Antigua and Barbuda,2006,35-54 years,female,0.0
Antigua and Barbuda,2006,5-14 years,female,0.0
Antigua and Barbuda,2006,55-74 years,female,0.0
Antigua and Barbuda,2006,75+ years,female,0.0
Antigua and Barbuda,2006,15-24 years,male,0.0
Antigua and Barbuda,2006,25-34 years,male,0.0
Antigua and Barbuda,2006,35-54 years,male,0.0
Antigua and Barbuda,2006,5-14 years,male,0.0
Antigua and Barbuda,2006,55-74 years,male,0.0
Antigua and Barbuda,2006,75+ years,male,0.0
Antigua and Barbuda,2007,35-54 years,male,7.98
Antigua and Barbuda,2007,15-24 years,female,0.0
Antigua and Barbuda,2007,25-34 years,female,0.0
Antigua and Barbuda,2007,35-54 years,female,0.0
Antigua and Barbuda,2007,5-14 years,female,0.0
Antigua and Barbuda,2007,55-74 years,female,0.0
Antigua and Barbuda,2007,75+ years,female,0.0
Antigua and Barbuda,2007,15-24 years,male,0.0
Antigua and Barbuda,2007,25-34 years,male,0.0
Antigua and Barbuda,2007,5-14 years,male,0.0
Antigua and Barbuda,2007,55-74 years,male,0.0
Antigua and Barbuda,2007,75+ years,male,0.0
Antigua and Barbuda,2008,15-24 years,female,0.0
Antigua and Barbuda,2008,25-34 years,female,0.0
Antigua and Barbuda,2008,35-54 years,female,0.0
Antigua and Barbuda,2008,5-14 years,female,0.0
Antigua and Barbuda,2008,55-74 years,female,0.0
Antigua and Barbuda,2008,75+ years,female,0.0
Antigua and Barbuda,2008,15-24 years,male,0.0
Antigua and Barbuda,2008,25-34 years,male,0.0
Antigua and Barbuda,2008,35-54 years,male,0.0
Antigua and Barbuda,2008,5-14 years,male,0.0
Antigua and Barbuda,2008,55-74 years,male,0.0
Antigua and Barbuda,2008,75+ years,male,0.0
Antigua and Barbuda,2009,15-24 years,female,0.0
Antigua and Barbuda,2009,25-34 years,female,0.0
Antigua and Barbuda,2009,35-54 years,female,0.0
Antigua and Barbuda,2009,5-14 years,female,0.0
Antigua and Barbuda,2009,55-74 years,female,0.0
Antigua and Barbuda,2009,75+ years,female,0.0
Antigua and Barbuda,2009,15-24 years,male,0.0
Antigua and Barbuda,2009,25-34 years,male,0.0
Antigua and Barbuda,2009,35-54 years,male,0.0
Antigua and Barbuda,2009,5-14 years,male,0.0
Antigua and Barbuda,2009,55-74 years,male,0.0
Antigua and Barbuda,2009,75+ years,male,0.0
Antigua and Barbuda,2012,15-24 years,female,0.0
Antigua and Barbuda,2012,25-34 years,female,0.0
Antigua and Barbuda,2012,35-54 years,female,0.0
Antigua and Barbuda,2012,5-14 years,female,0.0
Antigua and Barbuda,2012,55-74 years,female,0.0
Antigua and Barbuda,2012,75+ years,female,0.0
Antigua and Barbuda,2012,15-24 years,male,0.0
Antigua and Barbuda,2012,25-34 years,male,0.0
Antigua and Barbuda,2012,35-54 years,male,0.0
Antigua and Barbuda,2012,5-14 years,male,0.0
Antigua and Barbuda,2012,55-74 years,male,0.0
Antigua and Barbuda,2012,75+ years,male,0.0
Antigua and Barbuda,2013,15-24 years,female,0.0
Antigua and Barbuda,2013,25-34 years,female,0.0
Antigua and Barbuda,2013,35-54 years,female,0.0
Antigua and Barbuda,2013,5-14 years,female,0.0
Antigua and Barbuda,2013,55-74 years,female,0.0
Antigua and Barbuda,2013,75+ years,female,0.0
Antigua and Barbuda,2013,15-24 years,male,0.0
Antigua and Barbuda,2013,25-34 years,male,0.0
Antigua and Barbuda,2013,35-54 years,male,0.0
Antigua and Barbuda,2013,5-14 years,male,0.0
Antigua and Barbuda,2013,55-74 years,male,0.0
Antigua and Barbuda,2013,75+ years,male,0.0
Antigua and Barbuda,2014,15-24 years,female,0.0
Antigua and Barbuda,2014,25-34 years,female,0.0
Antigua and Barbuda,2014,35-54 years,female,0.0
Antigua and Barbuda,2014,5-14 years,female,0.0
Antigua and Barbuda,2014,55-74 years,female,0.0
Antigua and Barbuda,2014,75+ years,female,0.0
Antigua and Barbuda,2014,15-24 years,male,0.0
Antigua and Barbuda,2014,25-34 years,male,0.0
Antigua and Barbuda,2014,35-54 years,male,0.0
Antigua and Barbuda,2014,5-14 years,male,0.0
Antigua and Barbuda,2014,55-74 years,male,0.0
Antigua and Barbuda,2014,75+ years,male,0.0
Antigua and Barbuda,2015,55-74 years,female,15.62
Antigua and Barbuda,2015,15-24 years,female,0.0
Antigua and Barbuda,2015,25-34 years,female,0.0
Antigua and Barbuda,2015,35-54 years,female,0.0
Antigua and Barbuda,2015,5-14 years,female,0.0
Antigua and Barbuda,2015,75+ years,female,0.0
Antigua and Barbuda,2015,15-24 years,male,0.0
Antigua and Barbuda,2015,25-34 years,male,0.0
Antigua and Barbuda,2015,35-54 years,male,0.0
Antigua and Barbuda,2015,5-14 years,male,0.0
Antigua and Barbuda,2015,55-74 years,male,0.0
Antigua and Barbuda,2015,75+ years,male,0.0
Argentina,1985,75+ years,male,55.65
Argentina,1985,55-74 years,male,24.29
Argentina,1985,35-54 years,male,12.37
Argentina,1985,55-74 years,female,9.11
Argentina,1985,25-34 years,male,7.92
Argentina,1985,75+ years,female,7.64
Argentina,1985,15-24 years,male,6.46
Argentina,1985,35-54 years,female,4.23
Argentina,1985,25-34 years,female,2.97
Argentina,1985,15-24 years,female,2.93
Argentina,1985,5-14 years,male,0.53
Argentina,1985,5-14 years,female,0.37
Argentina,1986,75+ years,male,63.01
Argentina,1986,55-74 years,male,26.39
Argentina,1986,35-54 years,male,14.2
Argentina,1986,25-34 years,male,9.3
Argentina,1986,75+ years,female,8.89
Argentina,1986,55-74 years,female,8.67
Argentina,1986,15-24 years,male,7.66
Argentina,1986,35-54 years,female,5.57
Argentina,1986,25-34 years,female,4.37
Argentina,1986,15-24 years,female,4.27
Argentina,1986,5-14 years,male,0.33
Argentina,1986,5-14 years,female,0.24
Argentina,1987,75+ years,male,54.08
Argentina,1987,55-74 years,male,26.15
Argentina,1987,35-54 years,male,14.14
Argentina,1987,75+ years,female,10.42
Argentina,1987,55-74 years,female,9.54
Argentina,1987,25-34 years,male,8.44
